Formula,Elastic Modulus,Temperature
Gd2O3,75.2,923
Gd2O3,75.0,972
Gd2O3,74.1,1014
Gd2O3,74.0,1063
Gd2O3,73.0,1112
Gd2O3,72.1,1148
Gd2O3,71.2,1190
Gd2O3,71.1,1227
Gd2O3,70.9,1270
Gd2O3,69.2,1324
Gd2O3,69.1,1361
Gd2O3,52.7,45
Gd2O3,51.8,81
Gd2O3,51.6,136
Gd2O3,51.5,172
Gd2O3,51.3,233
Gd2O3,50.3,312
Gd2O3,49.3,385
Gd2O3,49.1,452
Gd2O3,48.9,507
Gd2O3,47.9,568
Gd2O3,46.9,635
Gd2O3,46.8,690
Gd2O3,46.6,745
Gd2O3,45.6,799
Gd2O3,45.5,848
Gd2O3,44.5,903
Gd2O3,44.4,958
Gd2O3,44.2,1013
Gd2O3,43.3,1061
Gd2O3,43.2,1098
Gd2O3,43.0,1153
Gd2O3,42.1,1195
Gd2O3,42.0,1226
Gd2O3,41.9,1274
Gd2O3,40.9,1317
Gd2O3,40.0,1353
Si3N4,309.0,23
Si3N4,300.0,22
MgAl2O4,258.0,23
MgAl2O4,206.0,23
MgAl2O4,196.0,800
MgAl2O4,195.0,1000
MgAl2O4,189.0,1200
MgAl2O4,173.0,1300
HfN,380.0,23
Al2O3,318.0,22
TiC,451.0,23
Al2O3,328.0,20
BeO,277.0,20
Al2O3,378.0,23
ThO2,137.0,20
ZrO2,91.6,24
ZrO2,91.5,79
ZrO2,91.5,100
ZrO2,90.9,138
ZrO2,90.2,205
ZrO2,86.3,239
ZrO2,85.1,281
ZrO2,85.0,340
ZrO2,84.4,386
ZrO2,83.8,415
ZrO2,83.8,458
ZrO2,83.2,483
ZrO2,83.2,496
ZrO2,83.2,512
ZrO2,81.5,533
ZrO2,81.4,554
ZrO2,80.9,575
ZrO2,80.8,592
ZrO2,81.3,706
ZrO2,97.4,287
ZrO2,99.8,160
ZrO2,98.8,29
SiC,427.0,20
SiC,401.0,1000
SiC,394.0,1400
SiC,410.0,23
HfB2,502.0,19
HfB2,501.0,64
HfB2,498.0,128
HfB2,496.0,173
HfB2,493.0,224
HfB2,490.0,276
HfB2,488.0,314
HfB2,487.0,352
HfB2,485.0,384
HfB2,484.0,429
HfB2,482.0,461
HfB2,480.0,513
HfB2,478.0,577
HfB2,476.0,628
HfB2,475.0,660
HfB2,473.0,698
HfB2,472.0,737
HfB2,471.0,788
HfB2,469.0,814
HfB2,467.0,871
HfB2,464.0,929
HfB2,461.0,993
TiB2,540.0,23
UO2,198.0,23
ZrB2,550.0,23
BN,150.0,23
ZrO2,197.0,25
ZrO2,191.0,25
ZrO2,194.0,25
ZrO2,184.0,25
ZrO2,181.0,25
ZrO2,165.0,25
ZrO2,108.0,25
ZrO2,188.0,25
ZrO2,187.0,25
ZrO2,155.0,25
ZrO2,104.0,25
ZrO2,199.0,50
ZrO2,163.0,50
ZrO2,134.0,50
ZrO2,110.0,50
ZrO2,197.0,100
ZrO2,161.0,100
ZrO2,132.0,100
ZrO2,109.0,100
ZrO2,192.0,200
ZrO2,158.0,200
ZrO2,130.0,200
ZrO2,107.0,200
ZrO2,181.0,400
ZrO2,148.0,400
ZrO2,121.0,400
ZrO2,99.0,400
ZrO2,167.0,600
ZrO2,138.0,600
ZrO2,114.0,600
ZrO2,95.0,600
ZrO2,149.0,800
ZrO2,128.0,800
ZrO2,110.0,800
ZrO2,94.0,800
ZrO2,131.0,1000
ZrO2,113.0,1000
ZrO2,97.0,1000
ZrO2,83.0,1000
BeO,277.0,20
AlN,343.0,23
