Formula,Fracture Toughness,Temperature
Si3N4,7.0,1400
Si3N4,9.0,1450
Si3N4,7.4,1500
Si3N4,5.1,1550
Si3N4,6.2,23
MgAl2O4,3.0,23
MgAl2O4,2.3,800
MgAl2O4,2.3,1000
MgAl2O4,2.7,1100
MgAl2O4,2.9,1200
MgAl2O4,2.6,1300
Al2O3,1.46,1200
Al2O3,1.46,1400
Al2O3,1.4,1500
Si3N4,5.4,1000
Si3N4,4.3,1200
Si3N4,6.1,1220
Si3N4,6.2,1250
Si3N4,7.9,1280
Si3N4,6.5,1300
Si3N4,5.0,1400
Si3N4,5.3,1500
Si3N4,6.4,23
Si3N4,6.0,1000
Si3N4,4.0,1200
Si3N4,4.7,1250
Si3N4,7.1,1300
Si3N4,6.2,1400
B4C,3.2,20
B4C,3.4,600
B4C,3.1,900
B4C,3.4,1200
Al2O3,4.5,23
Si3N4,6.8,23
Si3N4,5.0,23
Si3N4,2.1,25
Si3N4,1.7,600
Si3N4,1.7,800
Si3N4,1.4,1000
Si3N4,1.4,1200
SiC,3.7,22
SiC,3.2,1300
Si3N4,5.2,23
Si3N4,4.0,910
Si3N4,3.0,1000
Si3N4,2.6,1210
C,7.5,1190
C,8.4,1200
C,7.1,1200
C,7.0,1100
C,5.6,1150
C,3.1,1190
C,1.6,1200
C,4.2,1160
C,3.4,1190
TiB2,6.0,23
SiC,4.0,23
Si3N4,5.6,22
Si3N4,4.0,23
SiC,2.0,23
Y2O3,2.0,20
Y2O3,2.1,20
Y2O3,1.8,20
Y2O3,1.3,20
Y2O3,1.6,20
Y2O3,1.6,500
Y2O3,1.5,500
Y2O3,1.3,500
Y2O3,1.2,500
Y2O3,1.0,500
Y2O3,1.5,1000
Y2O3,1.8,1000
Y2O3,1.9,1000
Y2O3,1.3,1000
Y2O3,0.9,1000
Si3N4,3.8,25
Y3Al5O12,1.5,20
Y3Al5O12,1.9,20
Y3Al5O12,2.4,20
Y3Al5O12,2.9,20
Y3Al5O12,2.1,1200
Y3Al5O12,2.4,1200
Y3Al5O12,2.7,1200
Y3Al5O12,2.9,1200
Y3Al5O12,3.0,1300
Y3Al5O12,3.3,1300
Y3Al5O12,3.1,1400
Y3Al5O12,3.5,1400
Y3Al5O12,3.8,1400
Y3Al5O12,4.1,1400
Y3Al5O12,3.8,1600
Y3Al5O12,3.9,1600
Y3Al5O12,4.3,1600
Y3Al5O12,4.6,1600
Y3Al5O12,1.1,20
Y3Al5O12,1.5,20
Y3Al5O12,1.7,20
Y3Al5O12,2.3,20
Y3Al5O12,2.7,20
Y3Al5O12,2.0,800
Y3Al5O12,2.2,800
Y3Al5O12,2.6,800
Y3Al5O12,2.9,1200
Y3Al5O12,3.2,1200
